kind,doc_id,doc_saint,doc_title_english,doc_title_geez,doc_title_amharic,doc_title_transliteration,section_id,section_title_english,section_title_geez,section_title_amharic,section_title_transliteration,block_id,block_type,speaker,geez,amharic,english,transliteration,dynamic,overrideId,optional
block,,,,,,,,,,,,sjc-pr-11,prayer,priest,,,Then let us speak of the greatness of His mercies which have appeared unto us and which cannot be counted or measured.,,\N,\N,\N
block,,,,,,,,,,,,sjc-pr-12,prayer,priest,,,"When we transgressed His commandment through the advice of the cursed serpent we were driven from the garden of delight unto destruction, from life unto death, from freedom unto slavery, and we submitted ourselves to the yoke of sin.",,\N,\N,\N
block,,,,,,,,,,,,sjc-pr-13,prayer,priest,,,"But He did not forsake or neglect us, who were His workmanship, and did not take vengeance upon us because of our sins so that we should utterly perish as we committed sin against Him, but He loved us, visited us, spared us, had mercy upon us and saved us from the hand of him who enslaved us.",,\N,\N,\N
block,,,,,,,,,,,,sjc-pr-14,prayer,priest,,,"He sent unto us his saving and redeeming Son, the messenger of His counsel, His right hand, His arm, His power, and the wisdom of His Father. Through Him He did all that He desired in this world.",,\N,\N,\N
block,,,,,,,,,,,,sjc-pr-15,prayer,priest,,,"Whom He did predestinate, them He called; whom He called, them He loved; whom He loved, them He honoured; whom He honoured, them He justified; whom He justified, them He glorified to be an adornment for His Son.",,\N,\N,\N
block,,,,,,,,,,,,sjc-pr-16,prayer,priest,,,"And through Him He gathered us to the great faith, we who were scattered, and made us to Himself a gathered people, and drew us nearer unto Himself to glorify Him.",,\N,\N,\N
block,,,,,,,,,,,,sjc-pr-17,prayer,priest,,,"He wrote our names in the book of life so that the remembrance of everyone, the dead and the living, might be before Him.",,\N,\N,\N
section,,,,,,,sjc-intercessions,Intercessions,,,,,,,,,,,,,
block,,,,,,,,,,,,ap-int-1,prayer,deacon,በአንተ ብፁዕ ወቅዱስ አባ ማትያስ፣ ወብፁዕ ሊቀ ጳጳስነ አባ ጴጥሮስ፣,ብፁዕ ቅዱስ ስለሚሆን ስለ ርእሰ ሊቃነ ጳጳሳት ስለ አባ ማትያስ ብፁዕም ስለሚሆን ስለ አባ ጴጥሮስ በጸሎታቸውና,"For the sake of the blessed and holy Patriarch Abba and the blessed Archbishop Abba, while they yet give Thee thanks in their prayer and their supplications: Stephen the first martyr, Zacharias the priest and John the Baptist.",Beinte bitsu'i weqidus Abba Matyas webitsu'i leeqe papasine Abba Petros,\N,\N,\N
block,,,,,,,,,,,,ap-int-2,prayer,deacon,እንዘ የአኵቱከ በጸሎቶሙ ወበስእለቶሙ እስጢፋኖስ ቀዳሜ ሰማዕት፣ ዘካርያስ ካህን ወዮሐንስ መጥምቅ,በልመናቸው ሲያመስግኑህ የሰማዕታት መጀመሪያ እስጢፋኖስ። ካህን ዘካርያስና መጥምቁ ዩሐንስ,"And for the sake of all the saints and martyrs who have gone to their rest in faith: Matthew and Mark, Luke, and John, the four Evangelists; Mary the mother of God, Simon Peter and Andrew, James and John, Philip and Bartholomew, Thomas and Matthew, Thaddaeus and Nathanael, James the son of Alphaeus and Matthias, the twelve Apostles; and James the Apostle, brother of the Lord, Bishop of Jerusalem: Paul, Timothy, Silas, and Barnabas; Titus, Philemon, and Clement, the seventy-two disciples, the five hundred brethren, the three hundred and eighteen Orthodox; may the prayers of them all come unto us and visit us together with them.",inze ye'akwutuke betselotomu webes'iletomu Isteefanos qedame sema'it. Zekarias kahin weyohanis metmiq.,\N,\N,\N
block,,,,,,,,,,,,ap-int-3,prayer,deacon,,,"And remember Thou the peace of the universal apostolic church, which was made by Christ through His precious blood.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-4,prayer,deacon,,,"Remember, Thou, all the patriarchs, archbishops, bishops, priests, and deacons who keep straight the way of the true word.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-5r,rubric,\N,\N,\N,The assistant priest shall say the Prayer of Benediction of St. Basil.,\N,\N,\N,\N
block,,,,,,,,,,,,ap-int-5,prayer,priest,,,"O holy Trinity, Father, Son, and Holy Spirit, bless Thy people, beloved Christians, with heavenly and earthly blessings.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-6,prayer,priest,,,"And send upon us the grace of the Holy Spirit, and keep the doors of Thy holy church open unto us in mercy and in faith; and perfect unto us the faith of Thy holy Trinity unto our last breath.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-7,prayer,priest,,,"O my Lord Jesus Christ, visit the sick of Thy people; heal them; and guide our fathers and our brethren who have journeyed, becoming strangers: bring them back to their dwelling places in peace and in health.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-8,prayer,priest,,,"Bless the airs of heaven, and the rains and the fruits of the earth of this year, in accordance with Thy grace, and make joy and gladness prevail perpetually on the face of the earth.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-9,prayer,priest,,,And confirm for us Thy peace. Turn the hearts of mighty kings to deal kindly with us always.,,\N,\N,\N
