kind,doc_id,doc_saint,doc_title_english,doc_title_geez,doc_title_amharic,doc_title_transliteration,section_id,section_title_english,section_title_geez,section_title_amharic,section_title_transliteration,block_id,block_type,speaker,geez,amharic,english,transliteration,dynamic,overrideId,optional
block,,,,,,,,,,,,ap-int-11,prayer,priest,,,"Rest the souls of our ancestors, both our brothers and sisters who have fallen asleep and gained their rest in the right faith.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-12,prayer,priest,,,"And bless those who give gifts of incense, bread and wine, ointment and oil, decorations and reading books, and vessels for the sanctuary, that Christ our God may give them their reward in the heavenly Jerusalem.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-13,prayer,priest,,,"And all of them that are assembled with us to entreat for mercy, Christ our God have mercy upon them: and all them that give alms before Thine awful and terrifying throne, receive.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-14,prayer,priest,,,"And comfort every straitened soul, they who are in chains, and they who are in exile or captivity.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-15,prayer,priest,,,"And them that are held in bitter servitude, our God, deliver them in Thy mercy. And all of them that have entrusted it to us to remember them in our supplications to Thee O our Master Jesus Christ, remember them in Thy heavenly kingdom, and remember me, thy sinful servant.",,\N,\N,\N
block,,,,,,,,,,,,ap-int-16,prayer,priest,ኦ እግዚኦ አድኅን ሕዝበከ ወባርክ ርስተከ,አቤቱ ሕዝብህን አድን ርስትህንም ባርክ።,"O Lord, save thy people and bless Thine inheritance, feed them and lift them up for ever.",O igzio adihin hizibike webarik risteke,\N,\N,\N
block,,,,,,,,,,,,ep-int-4,prayer,deacon,,,"Lord, pity and have mercy upon the patriarchs, archbishops, bishops, priests, deacons and all the Christian people.",,\N,\N,\N
block,,,,,,,,,,,,ep-int-5,prayer,priest,,,While He was yet there He came and He was sent without it being noised abroad.,,\N,\N,\N
block,,,,,,,,,,,,ep-int-6,prayer,deacon,,,"Ye that are sitting, stand up.",,\N,\N,\N
block,,,,,,,,,,,,ep-int-7,prayer,priest,,,He came down without being moved from His throne and without being removed from His place.,,\N,\N,\N
block,,,,,,,,,,,,ep-int-8,prayer,deacon,,,Look to the east.,,\N,\N,\N
block,,,,,,,,,,,,ep-int-9,prayer,priest,,,"He was conceived in the womb while He was filling everywhere, was born without opening the seal of virginity.",,\N,\N,\N
block,,,,,,,,,,,,ep-int-10,prayer,deacon,,,Let us give heed.,,\N,\N,\N
block,,,,,,,,,,,,ep-int-11,prayer,priest,,,"He grew, like an infant, and grew little by little until he matured like a man.",,\N,\N,\N
block,,,,,,,,,,,,ep-int-12,prayer,priest,,,At the age of thirty He was baptized in Jordan to purify us from sin by the washing of regeneration.,,\N,\N,\N
block,,,,,,,,,,,,ep-int-13,prayer,priest,,,"He was tempted by the Devil, he hungered and thirsted, walked and appeared preaching the gospel of the kingdom of heaven.",,\N,\N,\N
block,,,,,,,,,,,,ap-psn-2,response,congregation,,,"Remember us all in Thy kingdom; remember us, Lord, Master, in Thy kingdom; remember us, Lord, in Thy kingdom, as Thou remembered the thief on the right hand when Thou was on the tree of the holy cross.",,\N,\N,\N
section,,,,,,,saint-epiphanius-institution,Institution Narrative,,,,,,,,,,,,,
block,,,,,,,,,,,,ep-ins-1,prayer,priest,,,Then He stretched forth His hands on the tree of the cross for suffering to cure the wounds of the sick by the sprinkling of His blood.,,\N,\N,\N
block,,,,,,,,,,,,ep-ins-2,prayer,priest,,,"In that night, Thursday evening, which is the beginning of Friday, when He sat at the house of Lazarus, his friend,",,\N,\N,\N
block,,,,,,,,,,,,ep-ins-3,prayer,deacon,,,"Priests, raise up your hands.",,\N,\N,\N
block,,,,,,,,,,,,ep-ins-4,prayer,priest,,,"He took into His hands the unleavened bread of wheat from that which they brought unto Him for supper,",,\N,\N,\N
block,,,,,,,,,,,,ep-ins-5,rubric,\N,,,At this time he shall raise the bread.,,\N,\N,\N
block,,,,,,,,,,,,ep-ins-6,response,congregation,,,We believe that this is He; truly we believe.,,\N,\N,\N
block,,,,,,,,,,,,ep-ins-7,prayer,priest,,,"gave thanks, blessed (three times) and broke, and gave it to His disciples and said unto them, ""Take, eat, this bread is the communion of My body which will be broken for you.""",,\N,\N,\N
block,,,,,,,,,,,,ep-ins-8,rubric,\N,,,Then he shall indent the Host lightly with his thumb in five places without separation.,,\N,\N,\N
block,,,,,,,,,,,,ep-ins-9,response,congregation,,,"Amen. Amen. Amen. We believe and confess, we glorify Thee, O our Lord and our God; that this is He we truly believe.",,\N,\N,\N
block,,,,,,,,,,,,ep-ins-10,prayer,priest,,,"Again He mixed the cup of wine with water, gave thanks, blessed (three times), hallowed and gave it to His apostles and said unto them, ""Take, drink, this cup is the communion of My blood which will be shed for you.""",,\N,\N,\N
block,,,,,,,,,,,,ep-ins-11,rubric,\N,,,He shall then move the cup with his right hand in the sign of the cross.,,\N,\N,\N
block,,,,,,,,,,,,ep-ins-12,response,congregation,,,Amen. Amen. Amen.,,\N,\N,\N
block,,,,,,,,,,,,ep-ins-13,prayer,priest,,,Let this service be unto you for the remembrance of My death and My resurrection.,,\N,\N,\N
section,,,,,,,saint-epiphanius-anamnesis,Anamnesis,,,,,,,,,,,,,
block,,,,,,,,,,,,ep-an-1,response,congregation,,,"We proclaim Thy death, Lord, and Thy holy resurrection; we believe in Thy ascension and Thy second advent. We glorify Thee and confess Thee, we offer our prayer unto Thee and supplicate Thee, O our Lord and our God.",,\N,\N,\N
section,,,,,,,saint-epiphanius-epiclesis,Epiclesis,,,,,,,,,,,,,
block,,,,,,,,,,,,ep-ep-1,prayer,priest,,,"And we, our Lord and our God, pray and beseech Thee and ask of Thy goodness, O Lover of man, that Thou may send the Holy Spirit and power upon this bread and upon this cup to make this bread thy holy body, and this cup the blood from Thy side which speaks.",,\N,\N,\N
block,,,,,,,,,,,,ep-ep-2,response,congregation,,,"Amen. Lord pity us, Lord spare us, Lord have mercy upon us.",,\N,\N,\N
block,,,,,,,,,,,,ep-ep-3,prayer,deacon,,,"With all our heart, let us beseech the Lord our God that He grant unto us the good communion of the Holy Spirit.",,\N,\N,\N
block,,,,,,,,,,,,ep-ep-4,response,congregation,,,"As it was, is, and shall be, unto generations of generations, and endless ages.",,\N,\N,\N
block,,,,,,,,,,,,ep-ep-5,rubric,\N,,,At this time he shall dip his finger into the Blood and sign the Body.,,\N,\N,\N
block,,,,,,,,,,,,ep-ep-6,prayer,priest,,,"Grant it together unto them that take of it, that it may be unto them for blessing, for remission of sin, for joy and rejoicing, for renewal of soul, body and spirit, and for strengthening of faith till the last breath.",,\N,\N,\N
block,,,,,,,,,,,,ep-ep-7,response,congregation,,,Amen.,,\N,\N,\N
block,,,,,,,,,,,,ep-ep-8,prayer,priest,,,"Grant us to be united through Thy Holy Spirit, and heal us by this oblation that we may live in Thee for ever.",,\N,\N,\N
block,,,,,,,,,,,,ep-ep-9,rubric,\N,,,The people shall repeat his words.,,\N,\N,\N
block,,,,,,,,,,,,ep-ep-10,prayer,priest,,,"Blessed be the name of the Lord, and blessed be He that comes in the name of the Lord, and let the name of His glory be blessed. So be it. So be it. So be it blessed.",,\N,\N,\N
block,,,,,,,,,,,,ep-ep-11,rubric,\N,,,The people shall repeat his words.,,\N,\N,\N
block,,,,,,,,,,,,ep-ep-12,prayer,priest,,,Send the grace of the Holy Spirit upon us.,,\N,\N,\N
block,,,,,,,,,,,,ep-ep-13,rubric,\N,,,The people shall repeat his words.,,\N,\N,\N
block,,,,,,,,,,,,ep-ep-14,prayer,deacon,,,Arise for prayer.,,\N,\N,\N
block,,,,,,,,,,,,ep-ep-15,response,congregation,,,Lord have mercy upon us.,,\N,\N,\N
block,,,,,,,,,,,,ep-ep-16,prayer,priest,,,Peace be unto all of you.,,\N,\N,\N
block,,,,,,,,,,,,ep-ep-17,response,congregation,,,And with your spirit.,,\N,\N,\N
section,,,,,,,saint-epiphanius-fraction,Prayer of Fraction,,,,,,,,,,,,,
block,,,,,,,,,,,,ep-fr-1,heading,\N,,,Prayer of Fraction,,\N,\N,\N
block,,,,,,,,,,,,ep-fr-2,prayer,priest,,,"Where is the country of Wisdom, where is its abode, where is its province, and where can the trace of its way be found?",,\N,\N,\N
block,,,,,,,,,,,,ep-fr-3,prayer,priest,,,"Who crossed the sea and bought it for red gold; Who ascended above the cloud and brought it down? Mortal man does not know its way, it is not for mortal man.",,\N,\N,\N
block,,,,,,,,,,,,ep-fr-4,prayer,priest,,,"It is forgotten by all men, and it is hidden from all the birds of heaven. Those who possess it gain friendship with God, and those who hate it love death. It is more beautiful than the sun and all the concourse of stars. It is compared with the Light because it was in the beginning.",,\N,\N,\N
block,,,,,,,,,,,,ep-fr-5,prayer,priest,,,"Though it is in the old, it renews all: and in every generation, it enters into the souls of the righteous.",,\N,\N,\N
block,,,,,,,,,,,,ep-fr-6,prayer,priest,,,"It is better than rubies; and all honour is not to be compared to it. It has counsel and power, strength and knowledge, by it kings reign, and the powerful decree justice.",,\N,\N,\N
