kind,doc_id,doc_saint,doc_title_english,doc_title_geez,doc_title_amharic,doc_title_transliteration,section_id,section_title_english,section_title_geez,section_title_amharic,section_title_transliteration,block_id,block_type,speaker,geez,amharic,english,transliteration,dynamic,overrideId,optional
block,,,,,,,,,,,,cy-inst-3,prayer,priest,,,In the same night in which they betrayed Him:,,\N,\N,\N
block,,,,,,,,,,,,cy-inst-4,rubric,\N,,,"Deacon: Priests, raise up your hands.",,\N,\N,\N
block,,,,,,,,,,,,cy-inst-5,prayer,priest,,,"He took bread in His holy, blessed and spotless hands, looked up unto heaven, towards Thee, His Father.",,\N,\N,\N
block,,,,,,,,,,,,cy-inst-6,response,congregation,,,"We believe that this is He, truly we believe.",,\N,\N,\N
block,,,,,,,,,,,,cy-inst-7,prayer,priest,,,"Gave thanks, blessed, broke (+ three times, then he shall indent the Host lightly with his thumb in five places without separation). And said unto them, Take, eat, this bread is My body which will be broken for you as a propitiation for all the world for the remission of sin.",,\N,\N,\N
block,,,,,,,,,,,,cy-inst-8,response,congregation,,,"Amen. Amen. Amen. We believe and confess, we glorify Thee, O our Lord and our God; that this is He we truly believe.",,\N,\N,\N
block,,,,,,,,,,,,cy-inst-9,prayer,priest,,,"Again after they had supped, He took a cup, gave thanks, blessed, hallowed (+ three times) and said unto His disciples, Take, drink, this cup is My blood of the new testament which will be shed for you and given as a propitiation for all the world for the remission of sin.",,\N,\N,\N
block,,,,,,,,,,,,cy-inst-10,rubric,\N,,,He shall move the cup with his right hand in the sign of the cross.,,\N,\N,\N
block,,,,,,,,,,,,cy-inst-11,response,congregation,,,Amen. Amen. Amen.,,\N,\N,\N
section,,,,,,,saint-cyril-anamnesis,Anamnesis,\N,\N,\N,,,,,,,,,,
block,,,,,,,,,,,,cy-an-1,prayer,priest,,,"Yea, Lord our God, hearken to the prayer of Thy servants and accept those who worship Thee before Thy face.",,\N,\N,\N
block,,,,,,,,,,,,cy-an-2,response,congregation,,,"We proclaim Thy death, Lord, and Thy holy resurrection; we believe thy ascension and Thy second advent. We glorify Thee, and confess Thee, we offer our prayer unto Thee and supplicate Thee, O our Lord and our God.",,\N,\N,\N
section,,,,,,,saint-cyril-epiclesis,Epiclesis,\N,\N,\N,,,,,,,,,,
